	cls	score	score_best
defectmotor	-1	0.0002136568503489673	0.0002136568503489673
bradley	-1	0.00021331358515430006	0.00021331358515430006
grabbing	-1	0.00021326114305742218	0.00021326114305742218
fasteners	-1	0.0002128306216169064	0.0002128306216169064
fed	-1	0.0002128036323919324	0.0002128036323919324
feedback	-1	0.00021256652307963928	0.00021256652307963928
filtering	-1	0.00021238891220432118	0.00021238891220432118
finding	-1	0.00021166260492586487	0.00021166260492586487
interrupted	-1	0.00021162539661894627	0.00021162539661894627
intermittently	-1	0.00021159267283355745	0.00021159267283355745
fanuc	-1	0.00021130927970549452	0.00021130927970549452
finger	-1	0.0002109298057113555	0.0002109298057113555
fired	-1	0.0002107754304813292	0.0002107754304813292
installing	-1	0.00021059409946916813	0.00021059409946916813
fires	-1	0.0002104831646693652	0.0002104831646693652
installation	-1	0.00021043808506233605	0.00021043808506233605
flipper	-1	0.0002102866383836292	0.0002102866383836292
inner	-1	0.00020990320941690927	0.00020990320941690927
flores	-1	0.00020971046623937447	0.00020971046623937447
insulation	-1	0.000209492164579503	0.000209492164579503
fans	-1	0.0002093934312956625	0.0002093934312956625
io	-1	0.0002092062042193627	0.0002092062042193627
jett	-1	0.00020906204497379946	0.00020906204497379946
electronic	-1	0.00020886001623408306	0.00020886001623408306
l1	-1	0.00020859156015625997	0.00020859156015625997
elevator	-1	0.00020859156015625997	0.00020859156015625997
em	-1	0.00020858089488683161	0.00020858089488683161
email	-1	0.00020767222400944516	0.00020767222400944516
emptied	-1	0.00020752056685645445	0.00020752056685645445
additional	-1	0.00020673007910513864	0.00020673007910513864
keyway	-1	0.0002066671758991653	0.0002066671758991653
k3m	-1	0.0002066432829302162	0.0002066432829302162
zs3	-1	0.00020639961457622144	0.00020639961457622144
jw	-1	0.00020623678625540038	0.00020623678625540038
juan	-1	0.00020587232887040967	0.00020587232887040967
jog	-1	0.00020535232970561438	0.00020535232970561438
euchner	-1	0.00020531473511923654	0.00020531473511923654
extreme	-1	0.00020503017625557435	0.00020503017625557435
jg	-1	0.0002047503059138242	0.0002047503059138242
fail	-1	0.0002043541221860676	0.0002043541221860676
fluctuating	-1	0.00020434849528563952	0.00020434849528563952
elctrical	-1	0.00020403095810185676	0.00020403095810185676
flush	-1	0.00020242709277607415	0.00020242709277607415
forting	-1	0.00020234004247921298	0.00020234004247921298
immediately	-1	0.00020224970714694188	0.00020224970714694188
h37	-1	0.00020224312215223734	0.00020224312215223734
h4	-1	0.0002019906852451602	0.0002019906852451602
h8	-1	0.0002019630701063803	0.0002019630701063803
h8900	-1	0.00020182096521970095	0.00020182096521970095
i4	-1	0.00020124814200835894	0.00020124814200835894
half	-1	0.00020106140854798734	0.00020106140854798734
improperly	-1	0.0002003291089199219	0.0002003291089199219
hammering	-1	0.000200160827221433	0.000200160827221433
heating	-1	0.0002000966856241067	0.0002000966856241067
heavily	-1	0.00020009459254029837	0.00020009459254029837
hesitation	-1	0.00020001444477621197	0.00020001444477621197
homed	-1	0.00019979685406921509	0.00019979685406921509
hydrostatic	-1	0.0001997135237721816	0.0001997135237721816
hyraulic	-1	0.0001995426629228952	0.0001995426629228952
i18	-1	0.0001995361900868128	0.0001995361900868128
hardware	-1	0.00019948012014524868	0.00019948012014524868
h35	-1	0.0001992750476280532	0.0001992750476280532
h29	-1	0.00019922681854701415	0.00019922681854701415
h25	-1	0.00019902790314496856	0.00019902790314496856
indicate	-1	0.000198501727126162	0.000198501727126162
fpi	-1	0.0001982255102020801	0.0001982255102020801
fresh	-1	0.0001976389592790093	0.0001976389592790093
frozen	-1	0.00019739591240479346	0.00019739591240479346
003	-1	0.00019716789886787398	0.00019716789886787398
gd	-1	0.00019708990156481758	0.00019708990156481758
ge	-1	0.00019706351916812993	0.00019706351916812993
glide	-1	0.00019697414335661433	0.00019697414335661433
increasing	-1	0.00019689245794755666	0.00019689245794755666
deformed	-1	0.00019676434351714893	0.00019676434351714893
gun	-1	0.00019676434351714893	0.00019676434351714893
h16	-1	0.00019664570366342114	0.00019664570366342114
h18	-1	0.00019658643070817258	0.00019658643070817258
h2	-1	0.00019644293643762594	0.00019644293643762594
h22	-1	0.0001962453814055346	0.0001962453814055346
form	-1	0.00019611798277934233	0.00019611798277934233
elbow	-1	0.00019610942672242826	0.00019610942672242826
jorge	-1	0.00019608068398284064	0.00019608068398284064
differential	-1	0.0001958429552978351	0.0001958429552978351
lincoln	-1	0.0001951216071149675	0.0001951216071149675
limits	-1	0.00019512140978943	0.00019512140978943
elaso	-1	0.00019508157171870065	0.00019508157171870065
dimension	-1	0.00019507972997900958	0.00019507972997900958
directed	-1	0.0001947960999973408	0.0001947960999973408
direction	-1	0.00019474256979308706	0.00019474256979308706
lights	-1	0.00019383382805829554	0.00019383382805829554
lighting	-1	0.00019367868533299177	0.00019367868533299177
dirty	-1	0.00019330727527986906	0.00019330727527986906
disengage	-1	0.0001928694383810597	0.0001928694383810597
lh	-1	0.0001927342420141468	0.0001927342420141468
dislodged	-1	0.00019270143510492852	0.00019270143510492852
display	-1	0.00019261990139273803	0.00019261990139273803
leaving	-1	0.00019235236821943868	0.00019235236821943868
disti	-1	0.00019219794341248687	0.00019219794341248687
doc	-1	0.00019207799716638727	0.00019207799716638727
look	-1	0.0001917189805089424	0.0001917189805089424
012	-1	0.0001915706811123389	0.0001915706811123389
logic	-1	0.00019141288450254295	0.00019141288450254295
dept	-1	0.00019125990888124893	0.00019125990888124893
010	-1	0.0001912519618459362	0.0001912519618459362
locknuts	-1	0.00019123778425067967	0.00019123778425067967
locating	-1	0.00019061188713171526	0.00019061188713171526
located	-1	0.00019048531277357495	0.00019048531277357495
006	-1	0.0001903872170254614	0.0001903872170254614
lobo	-1	0.0001902704964613698	0.0001902704964613698
lion	-1	0.0001902704964613698	0.0001902704964613698
adusted	-1	0.00019020118071227493	0.00019020118071227493
linkage	-1	0.0001901931124910381	0.0001901931124910381
diaphram	-1	0.00019004840761857884	0.00019004840761857884
leakage	-1	0.0001899472263332385	0.0001899472263332385
i3	-1	0.00018930152518390698	0.00018930152518390698
larger	-1	0.00018912467996116448	0.00018912467996116448
dried	-1	0.00018867467169007268	0.00018867467169007268
drilling	-1	0.00018856278093768466	0.00018856278093768466
dtcs	-1	0.00018837950416537565	0.00018837950416537565
dwell	-1	0.00018815063981125486	0.00018815063981125486
dragged	-1	0.0001880295207664453	0.0001880295207664453
early	-1	0.00018796880668107797	0.00018796880668107797
lamp	-1	0.00018758469465388574	0.00018758469465388574
later	-1	0.0001873196885088607	0.0001873196885088607
eject	-1	0.00018730400475657882	0.00018730400475657882
effort	-1	0.00018720676230948407	0.00018720676230948407
lcd	-1	0.0001871325429861663	0.0001871325429861663
downtime	-1	0.00018708014290675046	0.00018708014290675046
ejecting	-1	0.00018671462097715247	0.00018671462097715247
dry	-1	0.00018644206471392485	0.00018644206471392485
42	-1	0.00018595964318350082	0.00018595964318350082
submits	-1	0.000185841606683769	0.000185841606683769
5bar	-1	0.00018574400706546407	0.00018574400706546407
422	-1	0.00018568907496294224	0.00018568907496294224
595a	-1	0.0001851167116110943	0.0001851167116110943
573	-1	0.00018495109568596082	0.00018495109568596082
424	-1	0.00018471731845768846	0.00018471731845768846
425	-1	0.00018455853491896148	0.00018455853491896148
stt	-1	0.00018453586226267637	0.00018453586226267637
595	-1	0.00018445248650441153	0.00018445248650441153
su	-1	0.00018397425021415178	0.00018397425021415178
415	-1	0.0001839463875064054	0.0001839463875064054
stud	-1	0.00018385430497986155	0.00018385430497986155
tabs	-1	0.00018384108611700677	0.00018384108611700677
483	-1	0.00018329777419883575	0.00018329777419883575
stuttering	-1	0.000183073852418222	0.000183073852418222
tablle	-1	0.00018307184466538276	0.00018307184466538276
5c	-1	0.0001830674338621895	0.0001830674338621895
53	-1	0.00018275257557520688	0.00018275257557520688
synchron	-1	0.00018257126188711784	0.00018257126188711784
tec	-1	0.00018194768572487105	0.00018194768572487105
straightener	-1	0.00018171707993465915	0.00018171707993465915
3z	-1	0.00018137544390721654	0.00018137544390721654
strainer	-1	0.00018093719574032097	0.00018093719574032097
strainers	-1	0.0001807275990955593	0.0001807275990955593
400psi	-1	0.00018033161926913756	0.00018033161926913756
acumulators	-1	0.0001802721252544517	0.0001802721252544517
47ftlb	-1	0.00017980405423142194	0.00017980405423142194
striking	-1	0.00017975517528919053	0.00017975517528919053
strip	-1	0.00017952548717093818	0.00017952548717093818
tc	-1	0.0001794626341267617	0.0001794626341267617
40a	-1	0.00017937080353129701	0.00017937080353129701
taps	-1	0.0001793055649183046	0.0001793055649183046
5th	-1	0.00017916063326361048	0.00017916063326361048
40psi	-1	0.00017910055682074047	0.00017910055682074047
tapered	-1	0.00017904211271552279	0.00017904211271552279
5m40	-1	0.00017902319346850445	0.00017902319346850445
4131	-1	0.00017899703860576165	0.00017899703860576165
submitted	-1	0.00017891605027662948	0.00017891605027662948
426	-1	0.00017823705080737676	0.00017823705080737676
suggesting	-1	0.00017820084986785499	0.00017820084986785499
525	-1	0.0001780862166794737	0.0001780862166794737
suitable	-1	0.00017803752202199483	0.00017803752202199483
54218	-1	0.00017801243846518036	0.00017801243846518036
5x	-1	0.00017775925928768037	0.00017775925928768037
t10	-1	0.00017775925928768037	0.00017775925928768037
sunday	-1	0.00017763451824293758	0.00017763451824293758
t7551	-1	0.00017749958742587274	0.00017749958742587274
super	-1	0.00017713503660283156	0.00017713503660283156
t7552	-1	0.00017688940450113501	0.00017688940450113501
supplied	-1	0.00017687705170382507	0.00017687705170382507
supplier	-1	0.00017683225383386574	0.00017683225383386574
adapted	-1	0.0001767703027902643	0.0001767703027902643
54	-1	0.00017672673678431334	0.00017672673678431334
